feature,importance
elevacao_solar,0.33074655342893816
intensidade_solar,0.3240166431876306
dia_ano_sin,0.06381968532280476
dia_ano,0.05237558626514978
dia_ano_cos,0.05116654408308591
dia_semana_sin,0.04207943127223186
dia_semana,0.03377938973297261
dia_semana_cos,0.025545914127974863
hora,0.017630989167596433
hora_sin,0.01733897248373874
semana_ano,0.016474566592511408
periodo_detalhado,0.0074105955451685725
fim_semana,0.004348438083171429
mes_sin,0.003895197426985198
mes_cos,0.003292083360566581
hora_cos,0.0022885796785006903
mes,0.0018859783356419586
estacao,0.0012022483146596197
trimestre,0.0006857681173670919
sol_visivel,1.6835473303615678e-05
